CourseID,CourseName,Credit,Year,Semester
CSE1101,ObjectOrientedProgramming1,3,1,1
CSE1102,IntroductionToComputerEngineeringAndPractice,3,1,0
CSE1103,ObjectOrientedProgramming2,3,1,2
CSE2101,LogicCircuits,3,2,2
CSE2112,DataStructures,4,2,2
CSE4205,ComprehensiveDesignOfComputerEngineering,3,4,0
ICE4029,MobileApplicationSoftwareDesign,4,4,1
IEN3204,InformationRetrieval,3,3,2
CSE1105,CreativeDesignInComputerEngineering,3,1,1
CSE2103,AssemblyLanguage,3,2,1
CSE2104,InternetProgramming,3,2,0
CSE2105,LinearAlgebraBasedOnComputers,3,2,2
CSE2107,JavaBasedApplicationProgramming,3,2,0
CSE3101,NumericalProgramming,3,3,1
CSE3201,SystemProgramming,3,3,1
CSE3203,ComputerArchitecture,3,3,1
CSE3206,OperatingSystem,3,3,1
CSE3308,SystemsAnalysis,3,3,1
CSE3309,ProblemSolvingMethods,4,3,1
CSE4201,SoftwareEngineering,3,4,2
CSE4202,ComputerNetworks,3,4,0
CSE4204,Algorithm,3,4,1
CSE4308,ComputerSecurity,3,4,2
CSE3102,ProbabilityForComputerApplications,3,3,2
CSE3207,Database,3,3,1
CSE4302,ArtificialIntelligence,3,4,1
CSE4305,IntroductionToBiomedicalInformatics,3,4,1
CSE4314,DataMining,3,4,1
CSE3202,ProgrammingLanguages,3,3,2
CSE3205,AutomataAndIntelligentComputing,3,3,2
CSE3302,MicroprocessorApplications,3,3,2
CSE3303,UnixProgramming,3,3,2
CSE3304,EmbeddedSoftware,3,3,2
CSE3307,WirelessCommunicationAndNetworking,3,3,1
CSE4312,Compiler,3,4,1
CSE3204,ComputerGraphics,3,3,2
CSE4301,ElectronicCommerce,3,4,2
CSE4303,GameProgramming,3,4,1
CSE4304,ImageProcessingAndUnderstanding,3,4,1
CSE4307,MultimediaComputing,3,4,1
